,RADIO,circuito,RADIO.CIRCUITO
152,20011305,0004,20010004
153,20011306,0004,20010004
154,20011307,0004,20010004
155,20011308,0004,20010004
156,20011309,0003,20010003
157,20011310,0003,20010003
158,20011311,0003,20010003
159,20011312,0003,20010003
160,20011314,0003,20010003
161,20011315,0003,20010003
162,20011401,0014,20010014
163,20011402,0014,20010014
164,20011403,0014,20010014
165,20011404,0014,20010014
166,20011405,0015,20010015
167,20011406,0015,20010015
168,20011407,0015,20010015
169,20011408,0015,20010015
170,20011409,0015,20010015
171,20011410,0015,20010015
172,20011411,0015,20010015
173,20011412,0015,20010015
174,20011501,0014,20010014
175,20011502,0014,20010014
176,20011503,0014,20010014
177,20011504,0014,20010014
178,20011505,0015,20010015
179,20011506,0015,20010015
180,20011507,0015,20010015
181,20011508,0015,20010015
182,20011509,0015,20010015
183,20011510,0015,20010015
184,20011511,0015,20010015
185,20011601,0012,20010012
186,20011602,0012,20010012
187,20011603,0012,20010012
188,20011604,0012,20010012
189,20011605,0012,20010012
190,20011606,0012,20010012
191,20011607,0012,20010012
192,20011608,0012,20010012
193,20011609,0012,20010012
194,20011610,0012,20010012
195,20011611,0012,20010012
196,20011612,0012,20010012
197,20011701,0012,20010012
198,20011702,0012,20010012
199,20011703,0012,20010012
200,20011704,0012,20010012
201,20011705,0013,20010013
202,20011706,0012,20010012
203,20011707,0012,20010012
204,20011708,0013,20010013
205,20011709,0013,20010013
206,20011710,0013,20010013
207,20011711,0013,20010013
208,20011801,0012,20010012
209,20011802,0012,20010012
210,20011803,0013,20010013
211,20011804,0013,20010013
212,20011805,0013,20010013
213,20011806,0013,20010013
214,20011807,0013,20010013
215,20011808,0013,20010013
216,20011809,0013,20010013
217,20011901,0013,20010013
218,20011902,0013,20010013
219,20011903,0013,20010013
220,20011904,0013,20010013
221,20011905,0013,20010013
222,20011906,0013,20010013
223,20011907,0013,20010013
224,20011908,0013,20010013
225,20011909,0013,20010013
226,20012001,0017,20010017
227,20012002,0017,20010017
228,20012003,0017,20010017
229,20012004,0017,20010017
230,20012005,0017,20010017
231,20012006,0017,20010017
232,20012007,0017,20010017
233,20012008,0017,20010017
234,20012009,0017,20010017
235,20012010,0017,20010017
236,20012101,0017,20010017
237,20012102,0017,20010017
238,20012103,0017,20010017
239,20012104,0017,20010017
240,20012105,0017,20010017
241,20012106,0017,20010017
242,20012107,0017,20010017
243,20012108,0017,20010017
244,20012109,0017,20010017
245,20012110,0017,20010017
246,20012201,0016,20010016
247,20012202,0016,20010016
248,20012203,0016,20010016
249,20012204,0016,20010016
250,20012205,0017,20010017
251,20012206,0016,20010016
252,20012207,0016,20010016
253,20012208,0016,20010016
254,20012209,0018,20010018
255,20012210,0016,20010016
256,20012301,0002,20010002
257,20012302,0002,20010002
258,20012303,0002,20010002
259,20012304,0002,20010002
260,20012305,0002,20010002
261,20012306,0002,20010002
262,20012307,0002,20010002
263,20012308,0002,20010002
264,20012309,0002,20010002
265,20012310,0002,20010002
266,20012401,0002,20010002
267,20012402,0002,20010002
268,20012403,0002,20010002
269,20012404,0002,20010002
270,20012405,0002,20010002
271,20012406,0002,20010002
272,20012407,0001,20010001
273,20012408,0001,20010001
274,20012501,0002,20010002
275,20012502,0001,20010001
276,20012503,0001,20010001
277,20012504,0001,20010001
278,20012505,0001,20010001
279,20012506,0001,20010001
280,20012507,0001,20010001
281,20012508,0001,20010001
282,20012509,0001,20010001
283,20012510,0001,20010001
284,20012511,0001,20010001
285,20012601,0002,20010002
286,20012602,0002,20010002
287,20012603,0001,20010001
288,20012604,0001,20010001
289,20012605,0001,20010001
290,20012606,0001,20010001
291,20012607,0001,20010001
292,20012608,0001,20010001
293,20012609,0001,20010001
294,20012701,0019,20010019
295,20012702,0019,20010019
296,20012703,0019,20010019
297,20012704,0019,20010019
298,20012705,0019,20010019
299,20012706,0019,20010019
300,20012707,0019,20010019
301,20012708,0019,20010019
302,20012709,0016,20010016
303,20012710,0016,20010016
304,20012801,0018,20010018
305,20012802,0018,20010018
306,20012803,0018,20010018
307,20012804,0018,20010018
308,20012805,0018,20010018
309,20012806,0018,20010018
310,20012807,0018,20010018
311,20012808,0018,20010018
312,20012809,0018,20010018
313,20012810,0018,20010018
314,20012811,0018,20010018
315,20012812,0018,20010018
316,20012813,0018,20010018
317,20012901,0019,20010019
318,20012902,0019,20010019
319,20012903,0019,20010019
320,20012904,0019,20010019
321,20012905,0019,20010019
322,20012906,0019,20010019
323,20012907,0019,20010019
324,20012908,0019,20010019
325,20012909,0019,20010019
326,20020101,0020,20020020
327,20020102,0020,20020020
328,20020201,0020,20020020
329,20020202,0020,20020020
330,20020203,0020,20020020
331,20020204,0020,20020020
332,20020205,0020,20020020
333,20020206,0020,20020020
334,20020207,0020,20020020
335,20020208,0020,20020020
336,20020301,0020,20020020
337,20020302,0020,20020020
338,20020303,0021,20020021
339,20020304,0021,20020021
340,20020305,0021,20020021
341,20020306,0021,20020021
342,20020307,0021,20020021
343,20020308,0021,20020021
344,20020401,0021,20020021
345,20020402,0021,20020021
346,20020403,0021,20020021
347,20020404,0021,20020021
348,20020405,0021,20020021
349,20020406,0021,20020021
350,20020407,0021,20020021
351,20020408,0021,20020021
352,20020409,0021,20020021
353,20020410,0021,20020021
354,20020501,0021,20020021
355,20020502,0021,20020021
356,20020503,0021,20020021
357,20020504,0021,20020021
358,20020505,0021,20020021
359,20020506,0026,20020026
360,20020507,0026,20020026
361,20020508,0026,20020026
362,20020509,0026,20020026
363,20020601,0026,20020026
364,20020602,0026,20020026
365,20020603,0026,20020026
366,20020604,0026,20020026
367,20020605,0026,20020026
368,20020606,0026,20020026
369,20020607,0026,20020026
370,20020608,0026,20020026
371,20020609,0026,20020026
372,20020610,0026,20020026
373,20020701,0026,20020026
374,20020702,0026,20020026
375,20020703,0026,20020026
376,20020704,0026,20020026
377,20020705,0026,20020026
378,20020706,0026,20020026
379,20020707,0026,20020026
380,20020708,0026,20020026
381,20020709,0026,20020026
382,20020801,0025,20020025
383,20020802,0025,20020025
384,20020803,0025,20020025
385,20020804,0025,20020025
386,20020805,0025,20020025
387,20020806,0025,20020025
388,20020807,0025,20020025
389,20020808,0025,20020025
390,20020901,0024,20020024
391,20020902,0024,20020024
392,20020903,0024,20020024
393,20020904,0024,20020024
394,20020905,0024,20020024
395,20020906,0024,20020024
396,20020907,0024,20020024
397,20020908,0024,20020024
398,20020909,0024,20020024
399,20021001,0023,20020023
400,20021002,0023,20020023
401,20021003,0023,20020023
402,20021004,0023,20020023
403,20021005,0023,20020023
404,20021006,0023,20020023
405,20021007,0023,20020023
406,20021008,0023,20020023
407,20021009,0023,20020023
408,20021101,0022,20020022
409,20021102,0022,20020022
410,20021103,0022,20020022
411,20021104,0022,20020022
412,20021105,0022,20020022
413,20021106,0022,20020022
414,20021201,0022,20020022
415,20021202,0022,20020022
416,20021203,0022,20020022
417,20021204,0022,20020022
418,20021205,0022,20020022
419,20021206,0022,20020022
420,20021301,0023,20020023
421,20021302,0023,20020023
422,20021303,0023,20020023
423,20021304,0023,20020023
424,20021305,0023,20020023
425,20021306,0023,20020023
426,20021307,0023,20020023
427,20021401,0023,20020023
428,20021402,0023,20020023
429,20021403,0023,20020023
430,20021404,0023,20020023
431,20021405,0023,20020023
432,20021406,0023,20020023
433,20021407,0023,20020023
434,20021408,0028,20020028
435,20021409,0028,20020028
436,20021410,0028,20020028
437,20021501,0024,20020024
438,20021502,0024,20020024
439,20021503,0024,20020024
440,20021504,0024,20020024
441,20021505,0024,20020024
442,20021506,0024,20020024
443,20021507,0024,20020024
444,20021508,0024,20020024
445,20021601,0025,20020025
446,20021602,0025,20020025
447,20021603,0025,20020025
448,20021604,0025,20020025
449,20021605,0025,20020025
450,20021606,0025,20020025
451,20021607,0025,20020025
452,20021608,0025,20020025
453,20021701,0027,20020027
454,20021702,0027,20020027
455,20021703,0027,20020027
456,20021704,0027,20020027
457,20021705,0027,20020027
458,20021706,0027,20020027
459,20021707,0027,20020027
460,20021708,0027,20020027
461,20021709,0027,20020027
462,20021801,0027,20020027
463,20021802,0027,20020027
464,20021803,0027,20020027
465,20021804,0027,20020027
466,20021805,0027,20020027
467,20021806,0027,20020027
468,20021807,0027,20020027
469,20021808,0027,20020027
470,20021901,0028,20020028
471,20021902,0028,20020028
472,20021903,0028,20020028
473,20021904,0028,20020028
474,20021905,0028,20020028
475,20021906,0028,20020028
476,20021907,0028,20020028
477,20021908,0028,20020028
478,20022001,0028,20020028
479,20022002,0028,20020028
480,20022003,0028,20020028
481,20022004,0028,20020028
482,20022005,0028,20020028
483,20022006,0028,20020028
484,20022007,0028,20020028
485,20022008,0028,20020028
486,20022101,0028,20020028
487,20022102,0028,20020028
488,20022103,0028,20020028
489,20022104,0028,20020028
490,20022105,0028,20020028
491,20022106,0028,20020028
492,20022201,0023,20020023
493,20022202,0023,20020023
494,20022203,0023,20020023
495,20022204,0023,20020023
496,20022205,0023,20020023
497,20022206,0023,20020023
498,20022301,0022,20020022
499,20022302,0022,20020022
500,20022303,0022,20020022
501,20022304,0022,20020022
502,20022305,0022,20020022
503,20022306,0022,20020022
504,20022307,0022,20020022
505,20022308,0022,20020022
506,20022309,0022,20020022
507,20022401,0029,20020029
508,20022402,0029,20020029
509,20022403,0029,20020029
510,20022404,0029,20020029
511,20022405,0029,20020029
512,20022406,0029,20020029
513,20022501,0029,20020029
514,20022502,0029,20020029
515,20022503,0029,20020029
516,20022504,0029,20020029
517,20022505,0029,20020029
518,20022506,0029,20020029
519,20022507,0029,20020029
520,20022508,0029,20020029
521,20022509,0029,20020029
522,20022510,0029,20020029
523,20022511,0029,20020029
524,20030101,0030,20030030
525,20030102,0030,20030030
526,20030103,0030,20030030
527,20030104,0030,20030030
528,20030105,0030,20030030
529,20030106,0033,20030033
530,20030107,0030,20030030
531,20030108,0033,20030033
532,20030109,0033,20030033
533,20030110,0033,20030033
534,20030111,0033,20030033
535,20030201,0030,20030030
536,20030202,0030,20030030
537,20030203,0030,20030030
538,20030204,0030,20030030
539,20030205,0030,20030030
540,20030206,0030,20030030
541,20030207,0030,20030030
542,20030208,0033,20030033
543,20030209,0033,20030033
544,20030210,0033,20030033
545,20030211,0033,20030033
546,20030212,0033,20030033
547,20030301,0030,20030030
548,20030302,0031,20030031
549,20030303,0031,20030031
550,20030304,0031,20030031
551,20030305,0031,20030031
552,20030306,0030,20030030
553,20030307,0030,20030030
554,20030308,0031,20030031
555,20030309,0031,20030031
556,20030310,0031,20030031
557,20030311,0031,20030031
558,20030401,0031,20030031
559,20030402,0031,20030031
560,20030403,0031,20030031
561,20030404,0031,20030031
562,20030405,0031,20030031
563,20030406,0031,20030031
564,20030407,0031,20030031
565,20030408,0031,20030031
566,20030501,0031,20030031
567,20030502,0031,20030031
568,20030503,0031,20030031
569,20030504,0032,20030032
570,20030505,0032,20030032
571,20030506,0032,20030032
572,20030507,0032,20030032
573,20030601,0031,20030031
574,20030602,0032,20030032
575,20030603,0032,20030032
576,20030604,0032,20030032
577,20030605,0032,20030032
578,20030606,0032,20030032
579,20030607,0031,20030031
580,20030701,0034,20030034
581,20030702,0034,20030034
582,20030703,0032,20030032
583,20030704,0032,20030032
584,20030705,0032,20030032
585,20030706,0032,20030032
586,20030707,0032,20030032
587,20030708,0034,20030034
588,20030709,0034,20030034
589,20030801,0034,20030034
590,20030802,0034,20030034
591,20030803,0034,20030034
592,20030804,0034,20030034
593,20030805,0034,20030034
594,20030806,0034,20030034
595,20030807,0034,20030034
596,20030808,0034,20030034
597,20030809,0034,20030034
598,20030810,0034,20030034
599,20030901,0033,20030033
600,20030902,0033,20030033
601,20030903,0033,20030033
602,20030904,0033,20030033
603,20030905,0033,20030033
604,20030906,0033,20030033
605,20030907,0033,20030033
606,20030908,0033,20030033
607,20030909,0035,20030035
608,20030910,0035,20030035
609,20031001,0034,20030034
610,20031002,0034,20030034
611,20031003,0034,20030034
612,20031004,0034,20030034
613,20031005,0034,20030034
614,20031006,0034,20030034
615,20031007,0034,20030034
616,20031008,0034,20030034
617,20031101,0034,20030034
618,20031102,0034,20030034
619,20031103,0032,20030032
620,20031104,0032,20030032
621,20031105,0032,20030032
622,20031106,0032,20030032
623,20031107,0034,20030034
624,20031108,0034,20030034
625,20031201,0038,20030038
626,20031202,0038,20030038
627,20031203,0038,20030038
628,20031204,0039,20030039
629,20031205,0039,20030039
630,20031206,0039,20030039
631,20031207,0039,20030039
632,20031208,0039,20030039
633,20031209,0038,20030038
634,20031210,0038,20030038
635,20031301,0038,20030038
636,20031302,0038,20030038
637,20031303,0038,20030038
638,20031304,0038,20030038
639,20031305,0039,20030039
640,20031306,0039,20030039
641,20031307,0039,20030039
642,20031308,0039,20030039
643,20031309,0039,20030039
644,20031310,0039,20030039
645,20031311,0038,20030038
646,20031401,0035,20030035
647,20031402,0035,20030035
648,20031403,0035,20030035
649,20031404,0037,20030037
650,20031405,0037,20030037
651,20031406,0037,20030037
652,20031407,0037,20030037
653,20031408,0037,20030037
654,20031409,0035,20030035
655,20031410,0035,20030035
656,20031501,0035,20030035
657,20031502,0035,20030035
658,20031503,0035,20030035
659,20031504,0035,20030035
660,20031505,0037,20030037
661,20031506,0037,20030037
662,20031507,0037,20030037
663,20031508,0037,20030037
664,20031509,0037,20030037
665,20031601,0035,20030035
666,20031602,0035,20030035
667,20031603,0035,20030035
668,20031604,0035,20030035
669,20031605,0035,20030035
670,20031606,0035,20030035
671,20031607,0035,20030035
672,20031608,0035,20030035
673,20031609,0035,20030035
674,20031701,0036,20030036
675,20031702,0036,20030036
676,20031703,0036,20030036
677,20031704,0036,20030036
678,20031705,0036,20030036
679,20031706,0036,20030036
680,20031707,0036,20030036
681,20031708,0036,20030036
682,20031709,0036,20030036
683,20031801,0036,20030036
684,20031802,0036,20030036
685,20031803,0036,20030036
686,20031804,0037,20030037
687,20031805,0037,20030037
688,20031806,0037,20030037
689,20031807,0037,20030037
690,20031808,0036,20030036
691,20031809,0036,20030036
692,20031810,0037,20030037
693,20031811,0037,20030037
694,20031901,0038,20030038
695,20031902,0038,20030038
696,20031903,0038,20030038
697,20031904,0038,20030038
698,20031905,0038,20030038
699,20031906,0038,20030038
700,20031907,0038,20030038
701,20031908,0038,20030038
702,20031909,0038,20030038
703,20031910,0038,20030038
704,20032001,0039,20030039
705,20032002,0039,20030039
706,20032003,0039,20030039
707,20032004,0039,20030039
708,20032005,0039,20030039
709,20032006,0039,20030039
710,20032007,0039,20030039
711,20032008,0039,20030039
712,20032009,0039,20030039
713,20032010,0039,20030039
714,20032011,0039,20030039
715,20032101,0042,20030042
716,20032102,0042,20030042
717,20032103,0042,20030042
718,20032104,0042,20030042
719,20032105,0042,20030042
720,20032106,0042,20030042
721,20032107,0042,20030042
722,20032108,0042,20030042
723,20032109,0042,20030042
724,20032110,0042,20030042
725,20032201,0042,20030042
726,20032202,0042,20030042
727,20032203,0042,20030042
728,20032204,0042,20030042
729,20032205,0042,20030042
730,20032206,0042,20030042
731,20032207,0042,20030042
732,20032208,0042,20030042
733,20032209,0042,20030042
734,20032301,0041,20030041
735,20032302,0042,20030042
736,20032303,0042,20030042
737,20032304,0041,20030041
738,20032305,0041,20030041
739,20032306,0042,20030042
740,20032307,0042,20030042
741,20032308,0041,20030041
742,20032309,0041,20030041
743,20032310,0042,20030042
744,20032401,0041,20030041
745,20032402,0041,20030041
746,20032403,0041,20030041
747,20032404,0041,20030041
748,20032405,0041,20030041
749,20032406,0041,20030041
750,20032407,0041,20030041
751,20032408,0041,20030041
752,20032409,0041,20030041
753,20032501,0040,20030040
754,20032502,0040,20030040
755,20032503,0041,20030041
756,20032504,0041,20030041
757,20032505,0040,20030040
758,20032506,0041,20030041
759,20032507,0041,20030041
760,20032508,0041,20030041
761,20032509,0040,20030040
762,20032601,0040,20030040
763,20032602,0040,20030040
764,20032603,0040,20030040
765,20032604,0040,20030040
766,20032605,0040,20030040
767,20032606,0040,20030040
768,20032607,0040,20030040
769,20032608,0040,20030040
770,20032609,0040,20030040
771,20032701,0041,20030041
772,20032702,0041,20030041
773,20032703,0041,20030041
774,20032704,0041,20030041
775,20032705,0041,20030041
776,20032706,0041,20030041
777,20032707,0041,20030041
778,20040101,0057,20040057
779,20040102,0057,20040057
780,20040103,0056,20040056
781,20040104,0056,20040056
782,20040105,0056,20040056
783,20040106,0056,20040056
784,20040107,0056,20040056
785,20040108,0056,20040056
786,20040109,0056,20040056
787,20040110,0056,20040056
788,20040111,0056,20040056
789,20040112,0056,20040056
790,20040113,0056,20040056
791,20040114,0056,20040056
792,20040201,0056,20040056
793,20040202,0056,20040056
794,20040203,0056,20040056
795,20040204,0055,20040055
796,20040205,0055,20040055
797,20040206,0055,20040055
798,20040207,0055,20040055
799,20040208,0055,20040055
800,20040209,0055,20040055
801,20040210,0055,20040055
802,20040301,0057,20040057
803,20040302,0057,20040057
804,20040303,0057,20040057
805,20040304,0057,20040057
806,20040305,0057,20040057
807,20040306,0057,20040057
808,20040307,0057,20040057
809,20040308,0057,20040057
810,20040309,0057,20040057
811,20040310,0057,20040057
812,20040311,0057,20040057
813,20040312,0057,20040057
814,20040313,0056,20040056
815,20040401,0057,20040057
816,20040402,0057,20040057
817,20040403,0057,20040057
818,20040404,0057,20040057
819,20040405,0057,20040057
820,20040406,0057,20040057
821,20040407,0057,20040057
822,20040408,0057,20040057
823,20040409,0057,20040057
824,20040410,0057,20040057
825,20040411,0057,20040057
826,20040501,0044,20040044
827,20040502,0044,20040044
828,20040503,0044,20040044
829,20040504,0044,20040044
830,20040505,0044,20040044
831,20040506,0044,20040044
832,20040507,0045,20040045
833,20040508,0045,20040045
834,20040509,0045,20040045
835,20040510,0045,20040045
836,20040511,0045,20040045
837,20040601,0044,20040044
838,20040602,0044,20040044
839,20040603,0044,20040044
840,20040604,0044,20040044
841,20040605,0044,20040044
842,20040606,0044,20040044
843,20040607,0043,20040043
844,20040608,0043,20040043
845,20040609,0043,20040043
846,20040610,0043,20040043
847,20040611,0043,20040043
848,20040701,0043,20040043
849,20040702,0043,20040043
850,20040703,0043,20040043
851,20040704,0043,20040043
852,20040705,0043,20040043
853,20040706,0043,20040043
854,20040707,0043,20040043
855,20040708,0043,20040043
856,20040709,0043,20040043
857,20040710,0043,20040043
858,20040711,0043,20040043
859,20040712,0043,20040043
860,20040801,0045,20040045
861,20040802,0046,20040046
862,20040803,0046,20040046
863,20040804,0046,20040046
864,20040805,0046,20040046
865,20040806,0046,20040046
866,20040807,0046,20040046
867,20040808,0046,20040046
868,20040809,0046,20040046
869,20040810,0046,20040046
870,20040811,0045,20040045
871,20040901,0055,20040055
872,20040902,0055,20040055
873,20040903,0055,20040055
874,20040904,0055,20040055
875,20040905,0055,20040055
876,20040906,0055,20040055
877,20040907,0055,20040055
878,20041001,0047,20040047
879,20041002,0047,20040047
880,20041003,0047,20040047
881,20041004,0047,20040047
882,20041005,0047,20040047
883,20041006,0047,20040047
884,20041007,0047,20040047
885,20041008,0047,20040047
886,20041009,0047,20040047
887,20041101,0049,20040049
888,20041102,0049,20040049
889,20041103,0049,20040049
890,20041104,0049,20040049
891,20041105,0047,20040047
892,20041106,0047,20040047
893,20041107,0047,20040047
894,20041108,0049,20040049
895,20041109,0049,20040049
896,20041201,0048,20040048
897,20041202,0048,20040048
898,20041203,0048,20040048
899,20041204,0048,20040048
900,20041205,0048,20040048
901,20041206,0048,20040048
902,20041207,0048,20040048
903,20041208,0048,20040048
904,20041209,0048,20040048
905,20041210,0048,20040048
906,20041211,0048,20040048
907,20041212,0048,20040048
908,20041301,0048,20040048
909,20041302,0048,20040048
910,20041303,0050,20040050
911,20041304,0050,20040050
912,20041305,0048,20040048
913,20041306,0048,20040048
914,20041307,0048,20040048
915,20041308,0050,20040050
916,20041309,0050,20040050
917,20041310,0050,20040050
918,20041311,0048,20040048
919,20041401,0050,20040050
920,20041402,0050,20040050
921,20041403,0050,20040050
922,20041404,0050,20040050
923,20041405,0050,20040050
924,20041406,0050,20040050
925,20041407,0050,20040050
926,20041408,0050,20040050
927,20041409,0050,20040050
928,20041501,0050,20040050
929,20041502,0050,20040050
930,20041503,0050,20040050
931,20041504,0050,20040050
932,20041505,0050,20040050
933,20041506,0050,20040050
934,20041507,0050,20040050
935,20041508,0050,20040050
936,20041509,0051,20040051
937,20041510,0051,20040051
938,20041601,0054,20040054
939,20041602,0054,20040054
940,20041603,0054,20040054
941,20041604,0054,20040054
942,20041605,0054,20040054
943,20041606,0054,20040054
944,20041607,0054,20040054
945,20041608,0054,20040054
946,20041609,0054,20040054
947,20041610,0054,20040054
948,20041701,0054,20040054
949,20041702,0054,20040054
950,20041703,0054,20040054
951,20041704,0054,20040054
952,20041705,0054,20040054
953,20041706,0054,20040054
954,20041707,0054,20040054
955,20041708,0054,20040054
956,20041709,0054,20040054
957,20041710,0054,20040054
958,20041801,0054,20040054
959,20041901,0053,20040053
960,20041902,0053,20040053
961,20041903,0053,20040053
962,20041904,0053,20040053
963,20041905,0053,20040053
964,20041906,0053,20040053
965,20041907,0053,20040053
966,20041908,0053,20040053
967,20041909,0053,20040053
968,20041910,0053,20040053
969,20042001,0052,20040052
970,20042002,0052,20040052
971,20042003,0052,20040052
972,20042004,0052,20040052
973,20042005,0052,20040052
974,20042006,0053,20040053
975,20042007,0053,20040053
976,20042008,0053,20040053
977,20042009,0053,20040053
978,20042010,0053,20040053
979,20042011,0053,20040053
980,20042012,0053,20040053
981,20042101,0052,20040052
982,20042102,0052,20040052
983,20042103,0052,20040052
984,20042104,0052,20040052
985,20042105,0052,20040052
986,20042106,0052,20040052
987,20042107,0052,20040052
988,20042108,0052,20040052
989,20042109,0052,20040052
990,20042110,0052,20040052
991,20042111,0052,20040052
992,20042112,0052,20040052
993,20042201,0051,20040051
994,20042202,0051,20040051
995,20042203,0051,20040051
996,20042204,0051,20040051
997,20042205,0051,20040051
998,20042206,0051,20040051
999,20042207,0051,20040051
1000,20042208,0051,20040051
1001,20042209,0051,20040051
1002,20042210,0051,20040051
1003,20042211,0051,20040051
1004,20042212,0051,20040051
1005,20042301,0049,20040049
1006,20042302,0049,20040049
1007,20042303,0049,20040049
1008,20042304,0049,20040049
1009,20042305,0049,20040049
1010,20042306,0049,20040049
1011,20042307,0049,20040049
1012,20042308,0049,20040049
1013,20042309,0049,20040049
1014,20042310,0049,20040049
1015,20042311,0049,20040049
1016,20042312,0049,20040049
1017,20042401,0047,20040047
1018,20042402,0047,20040047
1019,20042403,0047,20040047
1020,20042404,0047,20040047
1021,20042405,0047,20040047
1022,20042406,0047,20040047
1023,20042501,0047,20040047
1024,20042502,0047,20040047
1025,20042503,0047,20040047
1026,20042504,0047,20040047
1027,20042601,0047,20040047
1028,20042602,0047,20040047
1029,20042603,0047,20040047
1030,20050101,0066,20050066
1031,20050102,0066,20050066
1032,20050103,0066,20050066
1033,20050104,0066,20050066
1034,20050105,0066,20050066
1035,20050106,0066,20050066
1036,20050107,0066,20050066
1037,20050108,0066,20050066
1038,20050109,0065,20050065
1039,20050110,0065,20050065
1040,20050201,0065,20050065
1041,20050202,0065,20050065
1042,20050203,0065,20050065
1043,20050204,0065,20050065
1044,20050205,0065,20050065
1045,20050206,0065,20050065
1046,20050207,0065,20050065
1047,20050208,0065,20050065
1048,20050209,0065,20050065
1049,20050210,0065,20050065
1050,20050211,0065,20050065
1051,20050301,0065,20050065
1052,20050302,0065,20050065
1053,20050303,0065,20050065
1054,20050304,0064,20050064
1055,20050305,0064,20050064
1056,20050306,0064,20050064
1057,20050307,0064,20050064
1058,20050308,0064,20050064
1059,20050309,0064,20050064
1060,20050310,0064,20050064
1061,20050311,0064,20050064
1062,20050401,0066,20050066
1063,20050402,0065,20050065
1064,20050403,0065,20050065
1065,20050404,0065,20050065
1066,20050405,0065,20050065
1067,20050406,0065,20050065
