RADIO_REF_ID,FRAC_REF_ID,IDRADIO
530,55,03
531,55,04
532,55,05
533,55,06
534,55,07
535,55,08
536,55,09
537,55,10
538,55,11
539,56,01
540,56,02
541,56,03
542,56,04
543,56,05
544,56,06
545,56,07
546,56,08
547,56,09
548,56,10
549,56,11
550,56,12
551,57,01
552,57,02
553,57,03
554,57,04
555,57,05
556,57,06
557,57,07
558,57,08
559,57,09
560,57,10
561,57,11
562,58,01
563,58,02
564,58,03
565,58,04
566,58,05
567,58,06
568,58,07
569,58,08
570,59,01
571,59,02
572,59,03
573,59,04
574,59,05
575,59,06
576,59,07
577,60,01
578,60,02
579,60,03
580,60,04
581,60,05
582,60,06
583,60,07
584,61,01
585,61,02
586,61,03
587,61,04
588,61,05
589,61,06
590,61,07
591,61,08
592,61,09
593,62,01
594,62,02
595,62,03
596,62,04
597,62,05
598,62,06
599,62,07
600,62,08
601,62,09
602,62,10
603,63,01
604,63,02
605,63,03
606,63,04
607,63,05
608,63,06
609,63,07
610,63,08
611,63,09
612,63,10
613,64,01
614,64,02
615,64,03
616,64,04
617,64,05
618,64,06
619,64,07
620,64,08
621,65,01
622,65,02
623,65,03
624,65,04
625,65,05
626,65,06
627,65,07
628,65,08
629,66,01
630,66,02
631,66,03
632,66,04
633,66,05
634,66,06
635,66,07
636,66,08
637,66,09
638,66,10
639,67,01
640,67,02
641,67,03
642,67,04
643,67,05
644,67,06
645,67,07
646,67,08
647,67,09
648,67,10
649,67,11
650,68,01
651,68,02
652,68,03
653,68,04
654,68,05
655,68,06
656,68,07
657,68,08
658,68,09
659,68,10
660,69,01
661,69,02
662,69,03
663,69,04
664,69,05
665,69,06
666,69,07
667,69,08
668,69,09
669,70,01
670,70,02
671,70,03
672,70,04
673,70,05
674,70,06
675,70,07
676,70,08
677,70,09
678,71,01
679,71,02
680,71,03
681,71,04
682,71,05
683,71,06
684,71,07
685,71,08
686,71,09
687,72,01
688,72,02
689,72,03
690,72,04
691,72,05
692,72,06
693,72,07
694,72,08
695,72,09
696,72,10
697,72,11
698,73,01
699,73,02
700,73,03
701,73,04
702,73,05
703,73,06
704,73,07
705,73,08
706,73,09
707,73,10
708,74,01
709,74,02
710,74,03
711,74,04
712,74,05
713,74,06
714,74,07
715,74,08
716,74,09
717,74,10
718,74,11
719,75,01
720,75,02
721,75,03
722,75,04
723,75,05
724,75,06
725,75,07
726,75,08
727,75,09
728,75,10
729,76,01
730,76,02
731,76,03
732,76,04
733,76,05
734,76,06
735,76,07
736,76,08
737,76,09
738,77,01
739,77,02
740,77,03
741,77,04
742,77,05
743,77,06
744,77,07
745,77,08
746,77,09
747,77,10
748,78,01
749,78,02
750,78,03
751,78,04
752,78,05
753,78,06
754,78,07
755,78,08
756,78,09
757,79,01
758,79,02
759,79,03
760,79,04
761,79,05
762,79,06
763,79,07
764,79,08
765,79,09
766,80,01
767,80,02
768,80,03
769,80,04
770,80,05
771,80,06
772,80,07
773,80,08
774,80,09
775,81,01
776,81,02
777,81,03
778,81,04
779,81,05
780,81,06
781,81,07
782,82,01
783,82,02
784,82,03
785,82,04
786,82,05
787,82,06
788,82,07
789,82,08
790,82,09
791,82,10
792,82,11
793,82,12
794,82,13
795,82,14
796,83,01
797,83,02
798,83,03
799,83,04
800,83,05
801,83,06
802,83,07
803,83,08
804,83,09
805,83,10
806,84,01
807,84,02
808,84,03
809,84,04
810,84,05
811,84,06
812,84,07
813,84,08
814,84,09
815,84,10
816,84,11
817,84,12
818,84,13
819,85,01
820,85,02
821,85,03
822,85,04
823,85,05
824,85,06
825,85,07
826,85,08
827,85,09
828,85,10
829,85,11
830,86,01
831,86,02
832,86,03
833,86,04
834,86,05
835,86,06
836,86,07
837,86,08
838,86,09
839,86,10
840,86,11
841,87,01
842,87,02
843,87,03
844,87,04
845,87,05
846,87,06
847,87,07
848,87,08
849,87,09
850,87,10
851,87,11
852,88,01
853,88,02
854,88,03
855,88,04
856,88,05
857,88,06
858,88,07
859,88,08
860,88,09
861,88,10
862,88,11
863,88,12
864,89,01
865,89,02
866,89,03
867,89,04
868,89,05
869,89,06
870,89,07
871,89,08
872,89,09
873,89,10
874,89,11
875,90,01
876,90,02
877,90,03
878,90,04
879,90,05
880,90,06
881,90,07
882,91,01
883,91,02
884,91,03
885,91,04
886,91,05
887,91,06
888,91,07
889,91,08
890,91,09
891,92,01
892,92,02
893,92,03
894,92,04
895,92,05
896,92,06
897,92,07
898,92,08
899,92,09
900,93,01
901,93,02
902,93,03
903,93,04
904,93,05
905,93,06
906,93,07
907,93,08
908,93,09
909,93,10
910,93,11
911,93,12
912,94,01
913,94,02
914,94,03
915,94,04
916,94,05
917,94,06
918,94,07
919,94,08
920,94,09
921,94,10
922,94,11
923,95,01
924,95,02
925,95,03
926,95,04
927,95,05
928,95,06
929,95,07
930,95,08
931,95,09
932,96,01
933,96,02
934,96,03
935,96,04
936,96,05
937,96,06
938,96,07
939,96,08
940,96,09
941,96,10
942,97,01
943,97,02
944,97,03
945,97,04
946,97,05
947,97,06
948,97,07
949,97,08
950,97,09
951,97,10
952,98,01
953,98,02
954,98,03
955,98,04
956,98,05
957,98,06
958,98,07
959,98,08
960,98,09
961,98,10
962,99,01
963,100,01
964,100,02
965,100,03
966,100,04
967,100,05
968,100,06
969,100,07
970,100,08
971,100,09
972,100,10
973,101,01
974,101,02
975,101,03
976,101,04
977,101,05
978,101,06
979,101,07
980,101,08
981,101,09
982,101,10
983,101,11
984,101,12
985,102,01
986,102,02
987,102,03
988,102,04
989,102,05
990,102,06
991,102,07
992,102,08
993,102,09
994,102,10
995,102,11
996,102,12
997,103,01
998,103,02
999,103,03
1000,103,04
1001,103,05
1002,103,06
1003,103,07
1004,103,08
1005,103,09
1006,103,10
1007,103,11
1008,103,12
1009,104,01
1010,104,02
1011,104,03
1012,104,04
1013,104,05
1014,104,06
1015,104,07
1016,104,08
1017,104,09
1018,104,10
1019,104,11
1020,104,12
1021,105,01
