,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
990,020042107,POINT (-58.36690585029691 -34.643577399799916),Comuna 4,0052,020040052
991,020042108,POINT (-58.363906205888775 -34.64316139243056),Comuna 4,0052,020040052
992,020042109,POINT (-58.36001995907202 -34.643205423820376),Comuna 4,0052,020040052
993,020042110,POINT (-58.36111718853839 -34.645465139493275),Comuna 4,0052,020040052
994,020042111,POINT (-58.3648676863418 -34.64514953651944),Comuna 4,0052,020040052
995,020042112,POINT (-58.36639751423785 -34.64729148212734),Comuna 4,0052,020040052
1033,020050101,POINT (-58.4282235709534 -34.59944330822412),Comuna 5,0066,020050066
1034,020050102,POINT (-58.42719320896287 -34.59861606758326),Comuna 5,0066,020050066
1035,020050103,POINT (-58.425849350961506 -34.599019211085285),Comuna 5,0066,020050066
1036,020050104,POINT (-58.4243342563784 -34.599072461404575),Comuna 5,0066,020050066
1037,020050105,POINT (-58.4228115221624 -34.599199444498794),Comuna 5,0066,020050066
1038,020050106,POINT (-58.42034194273107 -34.598336524298176),Comuna 5,0066,020050066
1039,020050107,POINT (-58.421249444691085 -34.59897999296348),Comuna 5,0066,020050066
1040,020050108,POINT (-58.42132518528525 -34.60003118517035),Comuna 5,0066,020050066
1065,020050401,POINT (-58.4222645141388 -34.60115099654333),Comuna 5,0066,020050066
1072,020050408,POINT (-58.42166705090667 -34.60246338196018),Comuna 5,0066,020050066
1073,020050409,POINT (-58.42324046250885 -34.6023089342015),Comuna 5,0066,020050066
1074,020050501,POINT (-58.43029929816969 -34.600455861285106),Comuna 5,0066,020050066
1075,020050502,POINT (-58.43089690725995 -34.601598698342265),Comuna 5,0066,020050066
1076,020050503,POINT (-58.42927250972663 -34.60171260623969),Comuna 5,0066,020050066
1077,020050504,POINT (-58.42813849597546 -34.600995394150104),Comuna 5,0066,020050066
1078,020050505,POINT (-58.42628448417545 -34.60200586807392),Comuna 5,0066,020050066
1079,020050506,POINT (-58.426106893404004 -34.600772354251404),Comuna 5,0066,020050066
1080,020050507,POINT (-58.42460578000888 -34.60092116083213),Comuna 5,0066,020050066
1081,020050508,POINT (-58.424783022911456 -34.60215651392546),Comuna 5,0066,020050066
1041,020050109,POINT (-58.41980338765891 -34.59964109401622),Comuna 5,0065,020050065
1042,020050110,POINT (-58.41984411110751 -34.60042867171732),Comuna 5,0065,020050065
1043,020050201,POINT (-58.417647757798576 -34.5986310108953),Comuna 5,0065,020050065
1044,020050202,POINT (-58.416354240161105 -34.599799922325836),Comuna 5,0065,020050065
1045,020050203,POINT (-58.415387931134156 -34.59863741501672),Comuna 5,0065,020050065
1046,020050204,POINT (-58.414109364508604 -34.59861821709874),Comuna 5,0065,020050065
1047,020050205,POINT (-58.41270617399701 -34.59861471376738),Comuna 5,0065,020050065
1048,020050206,POINT (-58.413284192838034 -34.5996352879751),Comuna 5,0065,020050065
1049,020050207,POINT (-58.41312775560004 -34.600735413517405),Comuna 5,0065,020050065
1050,020050208,POINT (-58.4134001832986 -34.60183721714436),Comuna 5,0065,020050065
1051,020050209,POINT (-58.41453441223094 -34.60084419199798),Comuna 5,0065,020050065
1052,020050210,POINT (-58.41647887354488 -34.60086404929716),Comuna 5,0065,020050065
1053,020050211,POINT (-58.41844831727835 -34.600326851353856),Comuna 5,0065,020050065
1054,020050301,POINT (-58.41602132215489 -34.60265386861746),Comuna 5,0065,020050065
1055,020050302,POINT (-58.41450017704554 -34.602851565961245),Comuna 5,0065,020050065
1056,020050303,POINT (-58.41376806478283 -34.603576904608026),Comuna 5,0065,020050065
1066,020050402,POINT (-58.41997384542814 -34.6013730278253),Comuna 5,0065,020050065
1067,020050403,POINT (-58.41855012895125 -34.60150979572376),Comuna 5,0065,020050065
1068,020050404,POINT (-58.417162423941875 -34.60173217155576),Comuna 5,0065,020050065
1069,020050405,POINT (-58.41730311016874 -34.6029033450456),Comuna 5,0065,020050065
1070,020050406,POINT (-58.41869428030009 -34.602759826088466),Comuna 5,0065,020050065
1071,020050407,POINT (-58.42014313252193 -34.60261107684772),Comuna 5,0065,020050065
1057,020050304,POINT (-58.41395845926672 -34.60457414304464),Comuna 5,0064,020050064
1058,020050305,POINT (-58.415194295460594 -34.60440504869381),Comuna 5,0064,020050064
1059,020050306,POINT (-58.41637022884936 -34.60463049184852),Comuna 5,0064,020050064
1060,020050307,POINT (-58.415387758541506 -34.60533104288379),Comuna 5,0064,020050064
1061,020050308,POINT (-58.41417408173592 -34.60552300042122),Comuna 5,0064,020050064
1062,020050309,POINT (-58.41433603067896 -34.606872938805246),Comuna 5,0064,020050064
1063,020050310,POINT (-58.415507164844094 -34.60644433984125),Comuna 5,0064,020050064
1064,020050311,POINT (-58.41548128215855 -34.60773750300133),Comuna 5,0064,020050064
1095,020050706,POINT (-58.42364477240865 -34.60529891188079),Comuna 5,0064,020050064
1098,020050801,POINT (-58.423447940242106 -34.60376550292766),Comuna 5,0064,020050064
1099,020050802,POINT (-58.421870023777515 -34.603946293341636),Comuna 5,0064,020050064
1100,020050803,POINT (-58.420340603651574 -34.604121639665294),Comuna 5,0064,020050064
1101,020050804,POINT (-58.42054182253985 -34.605497890116844),Comuna 5,0064,020050064
1102,020050805,POINT (-58.422044059869776 -34.605390990736865),Comuna 5,0064,020050064
1103,020050806,POINT (-58.42210692761921 -34.60663709480581),Comuna 5,0064,020050064
1104,020050807,POINT (-58.42062978517482 -34.60664273697626),Comuna 5,0064,020050064
1105,020050808,POINT (-58.4207495253494 -34.607917174331334),Comuna 5,0064,020050064
1106,020050809,POINT (-58.42223011075009 -34.60792593799138),Comuna 5,0064,020050064
1107,020050901,POINT (-58.41884320418121 -34.60391952039871),Comuna 5,0064,020050064
1108,020050902,POINT (-58.41747582050643 -34.60407859984971),Comuna 5,0064,020050064
1109,020050903,POINT (-58.41762969715898 -34.60500609294046),Comuna 5,0064,020050064
1110,020050904,POINT (-58.418984125739456 -34.60481610196907),Comuna 5,0064,020050064
1111,020050905,POINT (-58.419202119135946 -34.606215616441496),Comuna 5,0064,020050064
1112,020050906,POINT (-58.41783686854406 -34.60611047186043),Comuna 5,0064,020050064
1113,020050907,POINT (-58.41666660985539 -34.606246951077914),Comuna 5,0064,020050064
1114,020050908,POINT (-58.41678896477276 -34.607782328596564),Comuna 5,0064,020050064
1115,020050909,POINT (-58.41805244896009 -34.60767890280013),Comuna 5,0064,020050064
1116,020050910,POINT (-58.41937151485612 -34.60790864660974),Comuna 5,0064,020050064
1117,020051001,POINT (-58.42379597728051 -34.60932196803524),Comuna 5,0064,020050064
1118,020051002,POINT (-58.42218682197979 -34.609218351355935),Comuna 5,0064,020050064
1119,020051003,POINT (-58.420725867865464 -34.60917848670382),Comuna 5,0064,020050064
1120,020051004,POINT (-58.419414753023425 -34.60895009714215),Comuna 5,0064,020050064
1143,020051207,POINT (-58.4229037802455 -34.61050641830242),Comuna 5,0064,020050064
1082,020050601,POINT (-58.43246981441406 -34.60291241880919),Comuna 5,0067,020050067
1083,020050602,POINT (-58.43160795886956 -34.60304089103734),Comuna 5,0067,020050067
1084,020050603,POINT (-58.43074028720795 -34.603110175384124),Comuna 5,0067,020050067
1085,020050604,POINT (-58.42949805443033 -34.60320493486934),Comuna 5,0067,020050067
1086,020050605,POINT (-58.427962330491304 -34.60332841206938),Comuna 5,0067,020050067
1087,020050606,POINT (-58.4289282921609 -34.604566851966055),Comuna 5,0067,020050067
1088,020050607,POINT (-58.429113613790825 -34.605475914061145),Comuna 5,0067,020050067
1089,020050608,POINT (-58.43114501364222 -34.60464212121778),Comuna 5,0067,020050067
1090,020050701,POINT (-58.424987294623136 -34.603591953607186),Comuna 5,0067,020050067
1091,020050702,POINT (-58.426434067707035 -34.60306486379291),Comuna 5,0067,020050067
1092,020050703,POINT (-58.42655744821011 -34.60387352725167),Comuna 5,0067,020050067
1093,020050704,POINT (-58.42673183009448 -34.6051017309752),Comuna 5,0067,020050067
1094,020050705,POINT (-58.425234691467104 -34.60517751542328),Comuna 5,0067,020050067
1096,020050707,POINT (-58.424878399754014 -34.606969047988756),Comuna 5,0067,020050067
1097,020050708,POINT (-58.42619060301654 -34.60797306478684),Comuna 5,0067,020050067
1127,020051101,POINT (-58.428411206029686 -34.60732368535075),Comuna 5,0067,020050067
1128,020051102,POINT (-58.42986634227923 -34.606515364223775),Comuna 5,0067,020050067
1129,020051103,POINT (-58.42987174432542 -34.607899494265645),Comuna 5,0067,020050067
1130,020051104,POINT (-58.429735728688634 -34.60979516540051),Comuna 5,0067,020050067
1131,020051105,POINT (-58.428340904935204 -34.609670065433626),Comuna 5,0067,020050067
1132,020051106,POINT (-58.426836579609216 -34.60992184857186),Comuna 5,0067,020050067
1133,020051107,POINT (-58.42539859199962 -34.60942322251201),Comuna 5,0067,020050067
1134,020051108,POINT (-58.42662189586582 -34.611381698885346),Comuna 5,0067,020050067
1135,020051109,POINT (-58.42891968382508 -34.611171297672094),Comuna 5,0067,020050067
1136,020051110,POINT (-58.42947115407498 -34.612410388256954),Comuna 5,0067,020050067
1137,020051201,POINT (-58.42724104131558 -34.612491216109355),Comuna 5,0067,020050067
1121,020051005,POINT (-58.41764056665579 -34.60910479320793),Comuna 5,0063,020050063
1122,020051006,POINT (-58.41523624078509 -34.609591607266246),Comuna 5,0063,020050063
1123,020051007,POINT (-58.416612615730045 -34.61020176306241),Comuna 5,0063,020050063
1124,020051008,POINT (-58.417968835321965 -34.610283440336794),Comuna 5,0063,020050063
1125,020051009,POINT (-58.41920212191923 -34.610370275577935),Comuna 5,0063,020050063
1126,020051010,POINT (-58.42049628233653 -34.61054380992076),Comuna 5,0063,020050063
1142,020051206,POINT (-58.422727624703555 -34.61158990915459),Comuna 5,0063,020050063
1153,020051401,POINT (-58.4227937115515 -34.61291565755944),Comuna 5,0063,020050063
1154,020051402,POINT (-58.421483748739426 -34.612505741448956),Comuna 5,0063,020050063
1155,020051403,POINT (-58.42011681836539 -34.612164650286786),Comuna 5,0063,020050063
1156,020051404,POINT (-58.418799984442956 -34.611880099936116),Comuna 5,0063,020050063
1157,020051405,POINT (-58.41821703444045 -34.61337872886418),Comuna 5,0063,020050063
1158,020051406,POINT (-58.419672983195206 -34.61373583555261),Comuna 5,0063,020050063
1159,020051407,POINT (-58.42167692474789 -34.61459589139491),Comuna 5,0063,020050063
1160,020051408,POINT (-58.419370546079165 -34.61512305772695),Comuna 5,0063,020050063
1161,020051409,POINT (-58.41782671219938 -34.61490632816136),Comuna 5,0063,020050063
1162,020051501,POINT (-58.4149324090926 -34.611259486834626),Comuna 5,0063,020050063
1163,020051502,POINT (-58.416342793651665 -34.611477980478156),Comuna 5,0063,020050063
1164,020051503,POINT (-58.41732410417621 -34.61234482287589),Comuna 5,0063,020050063
1165,020051504,POINT (-58.415784357888626 -34.612679768101216),Comuna 5,0063,020050063
1166,020051505,POINT (-58.41439474172218 -34.61228195099677),Comuna 5,0063,020050063
1167,020051506,POINT (-58.41422615059616 -34.613591973075074),Comuna 5,0063,020050063
1168,020051507,POINT (-58.41626153788136 -34.61402740075495),Comuna 5,0063,020050063
1169,020051508,POINT (-58.415745405613755 -34.615020637812044),Comuna 5,0063,020050063
1170,020051509,POINT (-58.41363927533054 -34.614837122713794),Comuna 5,0063,020050063
1171,020051601,POINT (-58.41844386514481 -34.616216229237),Comuna 5,0063,020050063
1182,020051701,POINT (-58.42163788674248 -34.61655500032978),Comuna 5,0063,020050063
1138,020051202,POINT (-58.42899860169825 -34.61431005406402),Comuna 5,0061,020050061
1139,020051203,POINT (-58.427218926745844 -34.61351294595257),Comuna 5,0061,020050061
1140,020051204,POINT (-58.425864487298654 -34.61292742039513),Comuna 5,0061,020050061
1141,020051205,POINT (-58.424572532229874 -34.612369492279704),Comuna 5,0061,020050061
1144,020051301,POINT (-58.42715835682792 -34.614588587630344),Comuna 5,0061,020050061
1145,020051302,POINT (-58.425352929722045 -34.61416397982226),Comuna 5,0061,020050061
1146,020051303,POINT (-58.424108597243766 -34.6132971091622),Comuna 5,0061,020050061
1147,020051304,POINT (-58.42382920738546 -34.61479367625095),Comuna 5,0061,020050061
1148,020051305,POINT (-58.42358552413079 -34.61687407736566),Comuna 5,0061,020050061
1149,020051306,POINT (-58.4251789427129 -34.61642861869327),Comuna 5,0061,020050061
1150,020051307,POINT (-58.42665676263382 -34.61599952392122),Comuna 5,0061,020050061
1151,020051308,POINT (-58.42820820654883 -34.61607855806389),Comuna 5,0061,020050061
1152,020051309,POINT (-58.42727510921767 -34.61763107211631),Comuna 5,0061,020050061
1185,020051704,POINT (-58.42447524541355 -34.61853289480906),Comuna 5,0061,020050061
1186,020051705,POINT (-58.42743857618702 -34.61877395582838),Comuna 5,0061,020050061
1187,020051706,POINT (-58.4272131923446 -34.61997214233656),Comuna 5,0061,020050061
1188,020051707,POINT (-58.42432095326451 -34.61973624094509),Comuna 5,0061,020050061
1191,020051710,POINT (-58.423776742350334 -34.62091753338422),Comuna 5,0061,020050061
1192,020051711,POINT (-58.426625322207414 -34.62122731877014),Comuna 5,0061,020050061
1172,020051602,POINT (-58.41629070055159 -34.616487629059854),Comuna 5,0062,020050062
1173,020051603,POINT (-58.414971079617125 -34.61637961836183),Comuna 5,0062,020050062
1174,020051604,POINT (-58.4134965713922 -34.61680219580806),Comuna 5,0062,020050062
1175,020051605,POINT (-58.41549104405405 -34.617820932119514),Comuna 5,0062,020050062
1176,020051606,POINT (-58.41788582873878 -34.61804189670108),Comuna 5,0062,020050062
1177,020051607,POINT (-58.41863234587362 -34.61733147208321),Comuna 5,0062,020050062
1178,020051608,POINT (-58.418862225849985 -34.61992542561511),Comuna 5,0062,020050062
1179,020051609,POINT (-58.4167111784888 -34.619177787604144),Comuna 5,0062,020050062
1180,020051610,POINT (-58.4137546301303 -34.61926814378368),Comuna 5,0062,020050062
1181,020051611,POINT (-58.41602675376073 -34.620357430938256),Comuna 5,0062,020050062
1183,020051702,POINT (-58.42044556459935 -34.617587325578675),Comuna 5,0062,020050062
1184,020051703,POINT (-58.4215263629406 -34.618297727582195),Comuna 5,0062,020050062
1189,020051708,POINT (-58.42074489075647 -34.619784400262),Comuna 5,0062,020050062
1190,020051709,POINT (-58.42138611433888 -34.620723946399046),Comuna 5,0062,020050062
1193,020051801,POINT (-58.42631827138147 -34.62267022161048),Comuna 5,0060,020050060
1194,020051802,POINT (-58.425993881997115 -34.62424861007168),Comuna 5,0060,020050060
1195,020051803,POINT (-58.42416182551047 -34.62321925800921),Comuna 5,0060,020050060
1196,020051804,POINT (-58.42227065322056 -34.623907475055546),Comuna 5,0060,020050060
1197,020051805,POINT (-58.42249628684161 -34.62222119373717),Comuna 5,0060,020050060
1198,020051806,POINT (-58.42091084229537 -34.62286326956597),Comuna 5,0060,020050060
1199,020051807,POINT (-58.421054501866735 -34.62543517948356),Comuna 5,0060,020050060
1200,020051808,POINT (-58.42236940569824 -34.625575534977195),Comuna 5,0060,020050060
1201,020051809,POINT (-58.42368727265638 -34.62572029182086),Comuna 5,0060,020050060
1202,020051810,POINT (-58.42575842492303 -34.62548263497469),Comuna 5,0060,020050060
1203,020051811,POINT (-58.425590095382034 -34.62636772126887),Comuna 5,0060,020050060
1204,020051901,POINT (-58.41925849697735 -34.62194938988182),Comuna 5,0060,020050060
1205,020051902,POINT (-58.41852176944518 -34.623601953458724),Comuna 5,0060,020050060
1206,020051903,POINT (-58.41715003109698 -34.62270543139423),Comuna 5,0060,020050060
1207,020051904,POINT (-58.41511423591292 -34.621576722919556),Comuna 5,0060,020050060
1208,020051905,POINT (-58.41504309298789 -34.622954272631866),Comuna 5,0060,020050060
1209,020051906,POINT (-58.41302065756727 -34.62245174905485),Comuna 5,0060,020050060
1210,020051907,POINT (-58.41288154351598 -34.624578480479144),Comuna 5,0060,020050060
1211,020051908,POINT (-58.41485352959314 -34.62483600034013),Comuna 5,0060,020050060
1212,020051909,POINT (-58.41488349840837 -34.62399980791583),Comuna 5,0060,020050060
1213,020051910,POINT (-58.417548496361434 -34.62503175115898),Comuna 5,0060,020050060
1214,020051911,POINT (-58.41978922325522 -34.62439578381654),Comuna 5,0060,020050060
1215,020052001,POINT (-58.415290810363025 -34.62710770817198),Comuna 5,0059,020050059
1216,020052002,POINT (-58.413336931072465 -34.625882579230826),Comuna 5,0059,020050059
1217,020052003,POINT (-58.41314662050841 -34.62788966168153),Comuna 5,0059,020050059
1218,020052004,POINT (-58.41477709706489 -34.629573982397666),Comuna 5,0059,020050059
1220,020052006,POINT (-58.412875251291965 -34.63049636791593),Comuna 5,0059,020050059
1227,020052101,POINT (-58.42529568378196 -34.62746391975722),Comuna 5,0059,020050059
1228,020052102,POINT (-58.42266465714968 -34.627080227747875),Comuna 5,0059,020050059
1229,020052103,POINT (-58.42060612013907 -34.62733944590739),Comuna 5,0059,020050059
1230,020052104,POINT (-58.41882368197647 -34.62655743533003),Comuna 5,0059,020050059
1231,020052105,POINT (-58.4168032522525 -34.62627937350376),Comuna 5,0059,020050059
1232,020052106,POINT (-58.41674087358506 -34.628811315124466),Comuna 5,0059,020050059
1233,020052107,POINT (-58.418493886540496 -34.62864762356295),Comuna 5,0059,020050059
1234,020052108,POINT (-58.42125853601916 -34.63018260294942),Comuna 5,0059,020050059
1235,020052109,POINT (-58.421970502716704 -34.62874747705907),Comuna 5,0059,020050059
1236,020052110,POINT (-58.425161914474046 -34.62901221094765),Comuna 5,0059,020050059
1237,020052111,POINT (-58.42442587474238 -34.63037980403752),Comuna 5,0059,020050059
1239,020052202,POINT (-58.42069462552408 -34.63168142327496),Comuna 5,0059,020050059
1219,020052005,POINT (-58.41462813530828 -34.63156549312674),Comuna 5,0058,020050058
1221,020052007,POINT (-58.41380982625388 -34.632874293443884),Comuna 5,0058,020050058
1222,020052008,POINT (-58.41348628466592 -34.63414648537202),Comuna 5,0058,020050058
1223,020052009,POINT (-58.41458208996817 -34.635686798561046),Comuna 5,0058,020050058
1224,020052010,POINT (-58.41686884557794 -34.63710317694187),Comuna 5,0058,020050058
1225,020052011,POINT (-58.41464814106845 -34.63767540052771),Comuna 5,0058,020050058
1226,020052012,POINT (-58.412057282822 -34.63649658228535),Comuna 5,0058,020050058
1238,020052201,POINT (-58.42413351366732 -34.63243028333651),Comuna 5,0058,020050058
1240,020052203,POINT (-58.41848901545811 -34.631756040446476),Comuna 5,0058,020050058
1241,020052204,POINT (-58.41680281103744 -34.63183005782962),Comuna 5,0058,020050058
1242,020052205,POINT (-58.41861224249845 -34.633690849278715),Comuna 5,0058,020050058
1243,020052206,POINT (-58.42154569967622 -34.633225065774404),Comuna 5,0058,020050058
1244,020052207,POINT (-58.42352835778705 -34.634827987146416),Comuna 5,0058,020050058
1245,020052208,POINT (-58.42258218022944 -34.637250563063645),Comuna 5,0058,020050058
1246,020052209,POINT (-58.420724775933465 -34.63576981033345),Comuna 5,0058,020050058
1247,020052210,POINT (-58.41789963360824 -34.635079491496874),Comuna 5,0058,020050058
1248,020052211,POINT (-58.41963239709337 -34.637380041581565),Comuna 5,0058,020050058
1249,020052212,POINT (-58.41890921793256 -34.638588129338075),Comuna 5,0058,020050058
1250,020052213,POINT (-58.422848612026826 -34.63879709236267),Comuna 5,0058,020050058
1251,020060101,POINT (-58.461401208988356 -34.60863560810262),Comuna 6,0072,020060072
1252,020060102,POINT (-58.460065459939365 -34.60646740504007),Comuna 6,0072,020060072
1253,020060103,POINT (-58.45847082174246 -34.605562716412535),Comuna 6,0072,020060072
1254,020060104,POINT (-58.45681478624643 -34.60573489870871),Comuna 6,0072,020060072
1255,020060105,POINT (-58.45421397930837 -34.60603090050377),Comuna 6,0072,020060072
1256,020060106,POINT (-58.45500311678342 -34.607142981921356),Comuna 6,0072,020060072
1257,020060107,POINT (-58.45712263213485 -34.60747554655158),Comuna 6,0072,020060072
1258,020060108,POINT (-58.459679440699254 -34.60777537780362),Comuna 6,0072,020060072
1259,020060109,POINT (-58.45884188839986 -34.608958849774986),Comuna 6,0072,020060072
1260,020060110,POINT (-58.458861937828196 -34.611608410582306),Comuna 6,0072,020060072
1261,020060111,POINT (-58.45637995681773 -34.61070617476812),Comuna 6,0072,020060072
1262,020060112,POINT (-58.4569093135632 -34.61209069698459),Comuna 6,0072,020060072
1274,020060301,POINT (-58.455195394555446 -34.61017240441548),Comuna 6,0072,020060072
1275,020060302,POINT (-58.45359961111044 -34.60837680334698),Comuna 6,0072,020060072
1276,020060303,POINT (-58.45265827089936 -34.610041971678335),Comuna 6,0072,020060072
1279,020060306,POINT (-58.4504298486152 -34.60869595086411),Comuna 6,0072,020060072
1280,020060307,POINT (-58.45141071174142 -34.60734706897559),Comuna 6,0072,020060072
1281,020060308,POINT (-58.44914057617083 -34.60767262001671),Comuna 6,0072,020060072
1263,020060201,POINT (-58.44988480589879 -34.6148379359451),Comuna 6,0073,020060073
1264,020060202,POINT (-58.45213941706254 -34.61316413540501),Comuna 6,0073,020060073
1265,020060203,POINT (-58.45370909394468 -34.61225039335402),Comuna 6,0073,020060073
1266,020060204,POINT (-58.45311709545156 -34.61448698910075),Comuna 6,0073,020060073
1267,020060205,POINT (-58.45650678479748 -34.61443856964562),Comuna 6,0073,020060073
1268,020060206,POINT (-58.45545709688724 -34.61621657641845),Comuna 6,0073,020060073
1269,020060207,POINT (-58.457584273519196 -34.61659821659338),Comuna 6,0073,020060073
1270,020060208,POINT (-58.4561516522736 -34.61840553733723),Comuna 6,0073,020060073
1271,020060209,POINT (-58.453538662375074 -34.616756115218855),Comuna 6,0073,020060073
1272,020060210,POINT (-58.45206785143635 -34.618297080773786),Comuna 6,0073,020060073
1273,020060211,POINT (-58.45452220024314 -34.619514754839024),Comuna 6,0073,020060073
1277,020060304,POINT (-58.45069796537489 -34.61063646430914),Comuna 6,0073,020060073
1278,020060305,POINT (-58.44899591607638 -34.60985436574658),Comuna 6,0073,020060073
1282,020060309,POINT (-58.44756790915009 -34.6086690708684),Comuna 6,0073,020060073
1284,020060401,POINT (-58.45034735126808 -34.61251474153965),Comuna 6,0073,020060073
1285,020060402,POINT (-58.44839043508791 -34.61237820749832),Comuna 6,0073,020060073
1286,020060403,POINT (-58.447746886036725 -34.610844132056016),Comuna 6,0073,020060073
1290,020060407,POINT (-58.44727492579839 -34.61426603376422),Comuna 6,0073,020060073
1359,020061101,POINT (-58.4503931452213 -34.61714518783079),Comuna 6,0073,020060073
1360,020061102,POINT (-58.44909510150676 -34.616969362433046),Comuna 6,0073,020060073
1361,020061103,POINT (-58.44789354416793 -34.616356613852844),Comuna 6,0073,020060073
1362,020061104,POINT (-58.447462085934184 -34.617241724540285),Comuna 6,0073,020060073
1369,020061201,POINT (-58.44716489865921 -34.61789703960393),Comuna 6,0073,020060073
1370,020061202,POINT (-58.454518518049994 -34.621303945996864),Comuna 6,0073,020060073
1371,020061203,POINT (-58.4504238977806 -34.62104583758601),Comuna 6,0073,020060073
1283,020060310,POINT (-58.44575104759168 -34.60859536926156),Comuna 6,0070,020060070
1287,020060404,POINT (-58.44531384556522 -34.60997665271906),Comuna 6,0070,020060070
1288,020060405,POINT (-58.445264244500706 -34.61118924950233),Comuna 6,0070,020060070
1289,020060406,POINT (-58.44443348268494 -34.611974522548195),Comuna 6,0070,020060070
1291,020060408,POINT (-58.444195216211135 -34.61337241819013),Comuna 6,0070,020060070
1292,020060409,POINT (-58.443910753373146 -34.6145269731847),Comuna 6,0070,020060070
1293,020060410,POINT (-58.44347117233736 -34.61547587599604),Comuna 6,0070,020060070
1294,020060411,POINT (-58.441385148674904 -34.61504186065419),Comuna 6,0070,020060070
1295,020060501,POINT (-58.44430539854468 -34.608347726324645),Comuna 6,0070,020060070
1296,020060502,POINT (-58.44377724980377 -34.6075519830019),Comuna 6,0070,020060070
1297,020060503,POINT (-58.44213755610236 -34.60727902789581),Comuna 6,0070,020060070
1298,020060504,POINT (-58.44085757438796 -34.60712205415556),Comuna 6,0070,020060070
1301,020060507,POINT (-58.44159495182976 -34.60856113330712),Comuna 6,0070,020060070
1302,020060508,POINT (-58.443517569834 -34.60927543527566),Comuna 6,0070,020060070
1303,020060509,POINT (-58.44278162250637 -34.61023489628942),Comuna 6,0070,020060070
1304,020060510,POINT (-58.441782728732306 -34.6105914874226),Comuna 6,0070,020060070
1305,020060511,POINT (-58.440434281788384 -34.60998891303043),Comuna 6,0070,020060070
1307,020060601,POINT (-58.441275530575595 -34.61217236753036),Comuna 6,0070,020060070
1308,020060602,POINT (-58.43968014958219 -34.61216306310271),Comuna 6,0070,020060070
1311,020060605,POINT (-58.43893902845593 -34.61378472010504),Comuna 6,0070,020060070
1312,020060606,POINT (-58.440520175228365 -34.61375460815986),Comuna 6,0070,020060070
1313,020060607,POINT (-58.43994957769941 -34.61536668796132),Comuna 6,0070,020060070
1314,020060608,POINT (-58.43846158956278 -34.615124867099304),Comuna 6,0070,020060070
1339,020060901,POINT (-58.43824005648768 -34.61633160366169),Comuna 6,0070,020060070
1340,020060902,POINT (-58.43785975898139 -34.61703344622268),Comuna 6,0070,020060070
1349,020061001,POINT (-58.44356057462579 -34.619392789158034),Comuna 6,0070,020060070
1350,020061002,POINT (-58.44146480586777 -34.618745170185456),Comuna 6,0070,020060070
1351,020061003,POINT (-58.44033541491006 -34.61714862660977),Comuna 6,0070,020060070
1352,020061004,POINT (-58.439643301260055 -34.61794671632087),Comuna 6,0070,020060070
1363,020061105,POINT (-58.4457325775994 -34.61793173164287),Comuna 6,0070,020060070
1364,020061106,POINT (-58.44473294724009 -34.61644594759443),Comuna 6,0070,020060070
1365,020061107,POINT (-58.44369027666158 -34.617113365779886),Comuna 6,0070,020060070
1366,020061108,POINT (-58.44208013210232 -34.61645497995073),Comuna 6,0070,020060070
1367,020061109,POINT (-58.442765266855176 -34.617814411904085),Comuna 6,0070,020060070
1368,020061110,POINT (-58.44460341987008 -34.61868576282413),Comuna 6,0070,020060070
1372,020061204,POINT (-58.445458253756314 -34.620285814287186),Comuna 6,0070,020060070
1299,020060505,POINT (-58.43971314493986 -34.606668799359454),Comuna 6,0068,020060068
1300,020060506,POINT (-58.439412111677655 -34.60827012423108),Comuna 6,0068,020060068
1306,020060512,POINT (-58.43918650578672 -34.609688328178635),Comuna 6,0068,020060068
1309,020060603,POINT (-58.43846933790885 -34.61157858829071),Comuna 6,0068,020060068
1310,020060604,POINT (-58.43770342995828 -34.61355470561521),Comuna 6,0068,020060068
1315,020060609,POINT (-58.437143410957376 -34.61513372424063),Comuna 6,0068,020060068
1316,020060701,POINT (-58.433169217665494 -34.60350713406263),Comuna 6,0068,020060068
1317,020060702,POINT (-58.432027610967225 -34.60524945749609),Comuna 6,0068,020060068
1318,020060703,POINT (-58.43407321630449 -34.60448980946576),Comuna 6,0068,020060068
1319,020060704,POINT (-58.43187888543815 -34.606977483192395),Comuna 6,0068,020060068
1320,020060705,POINT (-58.43201349239523 -34.608175155958165),Comuna 6,0068,020060068
1321,020060706,POINT (-58.43602254059824 -34.60668754302446),Comuna 6,0068,020060068
1322,020060707,POINT (-58.43677492162286 -34.60970985621962),Comuna 6,0068,020060068
1323,020060708,POINT (-58.43671368196682 -34.61138946166007),Comuna 6,0068,020060068
1324,020060709,POINT (-58.43433230950304 -34.61040003449573),Comuna 6,0068,020060068
1325,020060710,POINT (-58.433013228308106 -34.609984764034586),Comuna 6,0068,020060068
1326,020060711,POINT (-58.43206802797456 -34.609394537192884),Comuna 6,0068,020060068
1327,020060712,POINT (-58.43115447233397 -34.60971848273759),Comuna 6,0068,020060068
1328,020060713,POINT (-58.43109949045056 -34.6108508501659),Comuna 6,0068,020060068
1329,020060801,POINT (-58.4335283647296 -34.61152597149187),Comuna 6,0068,020060068
1330,020060802,POINT (-58.434911464693705 -34.61243500001442),Comuna 6,0068,020060068
1331,020060803,POINT (-58.43696487882581 -34.61296623883909),Comuna 6,0068,020060068
