,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
67,020010610,POINT (-58.380760060249536 -34.59471153338937),Comuna 1,0008,020010008
68,020010701,POINT (-58.379205076460735 -34.59580158314015),Comuna 1,0008,020010008
69,020010702,POINT (-58.37536418276282 -34.59416847706223),Comuna 1,0008,020010008
70,020010703,POINT (-58.37381058158947 -34.59509871836577),Comuna 1,0008,020010008
71,020010704,POINT (-58.3736645660688 -34.59680454740003),Comuna 1,0008,020010008
72,020010705,POINT (-58.374855025943766 -34.59685981716062),Comuna 1,0008,020010008
73,020010706,POINT (-58.376205587946636 -34.596941120402235),Comuna 1,0008,020010008
74,020010707,POINT (-58.37766898617005 -34.59696986618523),Comuna 1,0008,020010008
75,020010708,POINT (-58.37912918535041 -34.59706852877404),Comuna 1,0008,020010008
76,020010709,POINT (-58.37905520137529 -34.5983167596137),Comuna 1,0008,020010008
77,020010710,POINT (-58.377594427926105 -34.59824138100235),Comuna 1,0008,020010008
78,020010711,POINT (-58.37554739813647 -34.598112702127345),Comuna 1,0008,020010008
79,020010712,POINT (-58.37354872686952 -34.59798446632434),Comuna 1,0008,020010008
84,020010804,POINT (-58.38069810264537 -34.59595012174688),Comuna 1,0008,020010008
85,020010805,POINT (-58.38061544600996 -34.59719399860173),Comuna 1,0008,020010008
90,020010810,POINT (-58.38053538979281 -34.598392421384965),Comuna 1,0008,020010008
91,020010901,POINT (-58.38608529472558 -34.599904152127316),Comuna 1,0010,020010010
92,020010902,POINT (-58.385564694567734 -34.60252062151674),Comuna 1,0010,020010010
93,020010903,POINT (-58.383071101634215 -34.601288839035334),Comuna 1,0010,020010010
110,020011001,POINT (-58.387438740155766 -34.59997407869268),Comuna 1,0010,020010010
111,020011002,POINT (-58.38887350903771 -34.60003972148909),Comuna 1,0010,020010010
112,020011003,POINT (-58.39054887793744 -34.600115827210736),Comuna 1,0010,020010010
113,020011004,POINT (-58.392168598982636 -34.60018814945083),Comuna 1,0010,020010010
114,020011005,POINT (-58.391818555545235 -34.6013541771747),Comuna 1,0010,020010010
115,020011006,POINT (-58.39025926224803 -34.60128876136704),Comuna 1,0010,020010010
116,020011007,POINT (-58.388816941547574 -34.60121959943328),Comuna 1,0010,020010010
117,020011008,POINT (-58.38736850887868 -34.60173220662711),Comuna 1,0010,020010010
118,020011009,POINT (-58.38874317728605 -34.60235641296257),Comuna 1,0010,020010010
119,020011010,POINT (-58.390366116663024 -34.60245849567258),Comuna 1,0010,020010010
120,020011011,POINT (-58.39186536591873 -34.60253867919214),Comuna 1,0010,020010010
121,020011012,POINT (-58.3915867582557 -34.603752356198484),Comuna 1,0010,020010010
122,020011013,POINT (-58.38938593344262 -34.60361187565849),Comuna 1,0010,020010010
123,020011014,POINT (-58.38726542749805 -34.603448431883436),Comuna 1,0010,020010010
94,020010904,POINT (-58.38046106516817 -34.59958492236524),Comuna 1,0009,020010009
95,020010905,POINT (-58.38038334853937 -34.60074537457161),Comuna 1,0009,020010009
96,020010906,POINT (-58.37819748523834 -34.60063887179621),Comuna 1,0009,020010009
97,020010907,POINT (-58.37897433064711 -34.599524982172476),Comuna 1,0009,020010009
98,020010908,POINT (-58.37753700524305 -34.599437866662996),Comuna 1,0009,020010009
99,020010909,POINT (-58.37607688736646 -34.5999141445014),Comuna 1,0009,020010009
100,020010910,POINT (-58.37401771073173 -34.59979917767132),Comuna 1,0009,020010009
101,020010911,POINT (-58.37208408789414 -34.59904488469859),Comuna 1,0009,020010009
102,020010912,POINT (-58.37198088825626 -34.60021728731029),Comuna 1,0009,020010009
103,020010913,POINT (-58.370228178279554 -34.59953292899364),Comuna 1,0009,020010009
104,020010914,POINT (-58.37015474605124 -34.60170797807887),Comuna 1,0009,020010009
105,020010915,POINT (-58.37392531321241 -34.601543391125),Comuna 1,0009,020010009
106,020010916,POINT (-58.37817728291941 -34.60179537977442),Comuna 1,0009,020010009
107,020010917,POINT (-58.379560232896885 -34.603017515495814),Comuna 1,0009,020010009
108,020010918,POINT (-58.37738885944636 -34.6028961998283),Comuna 1,0009,020010009
109,020010919,POINT (-58.37389786840266 -34.602681782237354),Comuna 1,0009,020010009
146,020011209,POINT (-58.37924618405642 -34.606613312666425),Comuna 1,0009,020010009
147,020011210,POINT (-58.37744581221297 -34.60480358240941),Comuna 1,0009,020010009
148,020011211,POINT (-58.372209077554864 -34.605262196076524),Comuna 1,0009,020010009
149,020011212,POINT (-58.37930073378613 -34.60413129466826),Comuna 1,0009,020010009
124,020011101,POINT (-58.39152539336647 -34.604984330950025),Comuna 1,0011,020010011
125,020011102,POINT (-58.39008111332105 -34.60488607274506),Comuna 1,0011,020010011
126,020011103,POINT (-58.38863064177986 -34.60477831598082),Comuna 1,0011,020010011
127,020011104,POINT (-58.38717095896741 -34.605271735321956),Comuna 1,0011,020010011
128,020011105,POINT (-58.38858925176379 -34.605995219000754),Comuna 1,0011,020010011
129,020011106,POINT (-58.39004368319487 -34.60608130190619),Comuna 1,0011,020010011
130,020011107,POINT (-58.391457872856144 -34.606163228317676),Comuna 1,0011,020010011
131,020011108,POINT (-58.3913915439686 -34.60734502545084),Comuna 1,0011,020010011
132,020011109,POINT (-58.39000263915403 -34.60726431955459),Comuna 1,0011,020010011
133,020011110,POINT (-58.38853485375227 -34.607175572282095),Comuna 1,0011,020010011
134,020011111,POINT (-58.387056613911646 -34.60706729039322),Comuna 1,0011,020010011
135,020011112,POINT (-58.38778188070096 -34.60831934958333),Comuna 1,0011,020010011
136,020011113,POINT (-58.38991910057692 -34.60850169947485),Comuna 1,0011,020010011
137,020011114,POINT (-58.39130387714138 -34.6085987298429),Comuna 1,0011,020010011
138,020011201,POINT (-58.38579527025369 -34.604596888680966),Comuna 1,0011,020010011
139,020011202,POINT (-58.3843773957144 -34.6045076003274),Comuna 1,0011,020010011
140,020011203,POINT (-58.38289115037493 -34.60498345072125),Comuna 1,0011,020010011
141,020011204,POINT (-58.384317007659824 -34.605718270383704),Comuna 1,0011,020010011
142,020011205,POINT (-58.385681951793906 -34.60639650081674),Comuna 1,0011,020010011
143,020011206,POINT (-58.38349574811634 -34.606835456294256),Comuna 1,0011,020010011
144,020011207,POINT (-58.38489747770965 -34.60810831203055),Comuna 1,0011,020010011
145,020011208,POINT (-58.38274612469868 -34.60795523022446),Comuna 1,0011,020010011
151,020011302,POINT (-58.364352666865756 -34.599516760444246),Comuna 1,0004,020010004
152,020011303,POINT (-58.36288098847099 -34.602864939251646),Comuna 1,0004,020010004
154,020011305,POINT (-58.36341372133824 -34.60935353426294),Comuna 1,0004,020010004
155,020011306,POINT (-58.361182209765 -34.60830799926347),Comuna 1,0004,020010004
156,020011307,POINT (-58.36093704718478 -34.610765027572455),Comuna 1,0004,020010004
157,020011308,POINT (-58.36320767627661 -34.61114083246698),Comuna 1,0004,020010004
158,020011309,POINT (-58.36273248931879 -34.613373357162686),Comuna 1,0003,020010003
159,020011310,POINT (-58.35956045663998 -34.614381410417174),Comuna 1,0003,020010003
160,020011311,POINT (-58.36149280465588 -34.61678597272877),Comuna 1,0003,020010003
161,020011312,POINT (-58.36204741586647 -34.615474295653236),Comuna 1,0003,020010003
163,020011314,POINT (-58.35336723162209 -34.60918703975032),Comuna 1,0003,020010003
164,020011315,POINT (-58.36055967185707 -34.619609207694666),Comuna 1,0003,020010003
165,020011401,POINT (-58.37457894110191 -34.609894390259306),Comuna 1,0014,020010014
166,020011402,POINT (-58.3700127887008 -34.60968435594013),Comuna 1,0014,020010014
167,020011403,POINT (-58.37265170769095 -34.61192946969605),Comuna 1,0014,020010014
168,020011404,POINT (-58.37405197018467 -34.612018744027296),Comuna 1,0014,020010014
177,020011501,POINT (-58.38012334890287 -34.60940719340232),Comuna 1,0014,020010014
178,020011502,POINT (-58.37756308751667 -34.61016397236209),Comuna 1,0014,020010014
